01,10
001,001,110
0000111,0000101,0000011,0000001,1100011,1010100,1111100
0000111,0000101,0000011,0000001,1100011,1010101,1111110
0000110,0000100,0000011,0000011,1100001,1011000,0011100
0000110,0000101,0000011,0000010,1100001,1011000,0110100
0000110,0000101,0000011,0000011,1100000,1011000,0111000
0000110,0000101,0000011,0000011,1100000,1011001,0111010
0000110,0000101,0000011,0000011,1100001,1011000,0111100
0000110,0000101,0000011,0000011,1100001,1011001,0111110
0000111,0000100,0000011,0000011,1100000,1011001,1011010
0000111,0000100,0000011,0000011,1100001,1011000,1011100
0000111,0000100,0000011,0000011,1100001,1011001,1011110
0000111,0000101,0000010,0000010,1100001,1011001,1100110
0000111,0000101,0000011,0000010,1100000,1011001,1110010
0000111,0000101,0000011,0000010,1100001,1011000,1110100
0000111,0000101,0000011,0000010,1100001,1011001,1110110
0000111,0000101,0000011,0000011,1100000,1011000,1111000
0000111,0000101,0000011,0000011,1100000,1011001,1111010
0000111,0000101,0000011,0000011,1100001,1011000,1111100
0000111,0000101,0000011,0000011,1100001,1011001,1111110
0000110,0000101,0000011,0000011,1100011,1011101,0111110
0000111,0000100,0000011,0000011,1100011,1011101,1011110
0000111,0000101,0000011,0000010,1100011,1011101,1110110
0000111,0000101,0000011,0000011,1100010,1011100,1111000
0000111,0000101,0000011,0000011,1100010,1011101,1111010
0000111,0000101,0000011,0000011,1100011,1011100,1111100
0000111,0000101,0000011,0000011,1100011,1011101,1111110
0000111,0000110,0000001,0000001,1100001,1100000,1011100
0000111,0000111,0000001,0000001,1100000,1100000,1111000
0000111,0000111,0000001,0000001,1100001,1100000,1111100
0000111,0000111,0000001,0000001,1100001,1100001,1111110
0000111,0000110,0000001,0000001,1100011,1100101,1011110
0000111,0000111,0000001,0000001,1100010,1100100,1111000
0000111,0000111,0000001,0000001,1100011,1100100,1111100
0000111,0000111,0000001,0000001,1100011,1100101,1111110
0000111,0000110,0000011,0000001,1100001,1110000,1011100
0000111,0000110,0000011,0000001,1100001,1110001,1011110
0000111,0000111,0000010,0000001,1100000,1110000,1101000
0000111,0000111,0000010,0000001,1100000,1110001,1101010
0000111,0000111,0000010,0000001,1100001,1110000,1101100
0000111,0000111,0000010,0000001,1100001,1110001,1101110
0000111,0000111,0000011,0000001,1100000,1110000,1111000
0000111,0000111,0000011,0000001,1100000,1110001,1111010
0000111,0000111,0000011,0000001,1100001,1110000,1111100
0000111,0000111,0000011,0000001,1100001,1110001,1111110
0000111,0000111,0000010,0000001,1100011,1110101,1101110
0000111,0000111,0000011,0000001,1100010,1110100,1111000
0000111,0000111,0000011,0000001,1100010,1110101,1111010
0000111,0000111,0000011,0000001,1100011,1110100,1111100
0000111,0000111,0000011,0000001,1100011,1110101,1111110
0000111,0000111,0000011,0000011,1100000,1111000,1111000
0000111,0000111,0000011,0000011,1100000,1111001,1111010
0000111,0000111,0000011,0000011,1100001,1111000,1111100
0000111,0000111,0000011,0000011,1100001,1111001,1111110
0000111,0000111,0000011,0000011,1100011,1111100,1111100
0000111,0000111,0000011,0000011,1100011,1111101,1111110
0000110,0000110,0000101,0000011,1110001,1101001,0011110
0000111,0000110,0000101,0000010,1110001,1101001,1010110
0000111,0000110,0000101,0000011,1110001,1101000,1011100
0000111,0000110,0000101,0000011,1110001,1101001,1011110
0000111,0000111,0000100,0000010,1110001,1101001,1100110
0000111,0000111,0000100,0000011,1110001,1101000,1101100
0000111,0000111,0000101,0000010,1110001,1101000,1110100
0000111,0000111,0000101,0000010,1110001,1101001,1110110
0000111,0000111,0000101,0000011,1110000,1101000,1111000
0000111,0000111,0000101,0000011,1110001,1101000,1111100
0000111,0000111,0000101,0000011,1110001,1101001,1111110
0000111,0000110,0000101,0000011,1110011,1101101,1011110
0000111,0000111,0000101,0000011,1110011,1101100,1111100
0000111,0000111,0000101,0000011,1110011,1101101,1111110
0000111,0000110,0000110,0000001,1110001,1110001,1001110
0000111,0000111,0000110,0000001,1110001,1110001,1101110
0000111,0000111,0000111,0000001,1110000,1110000,1111000
0000111,0000111,0000111,0000001,1110001,1110000,1111100
0000111,0000111,0000111,0000001,1110001,1110001,1111110
0000111,0000111,0000110,0000001,1110011,1110101,1101110
0000111,0000111,0000111,0000001,1110011,1110100,1111100
0000111,0000111,0000111,0000001,1110011,1110101,1111110
0000111,0000111,0000110,0000011,1110001,1111000,1101100
0000111,0000111,0000111,0000010,1110001,1111000,1110100
0000111,0000111,0000111,0000011,1110000,1111000,1111000
0000111,0000111,0000111,0000011,1110000,1111001,1111010
0000111,0000111,0000111,0000011,1110001,1111000,1111100
0000111,0000111,0000111,0000011,1110001,1111001,1111110
0000111,0000111,0000111,0000011,1110011,1111101,1111110
0000111,0000111,0000111,0000110,1111001,1111001,1110110
0000111,0000111,0000111,0000111,1111000,1111000,1111000
0000111,0000111,0000111,0000111,1111001,1111000,1111100
0000111,0000111,0000111,0000111,1111001,1111001,1111110
0000111,0000111,0000111,0000111,1111011,1111101,1111110
0001001,0000101,0000011,1000000,0100000,0010000,1110000
0001001,0000101,0000011,1000001,0100000,0010000,1111000
0001001,0000101,0000011,1000001,0100001,0010000,1111100
0001001,0000101,0000011,1000001,0100001,0010001,1111110
0001011,0000101,0000001,1000010,0100001,1001000,1110100
0001011,0000101,0000001,1000011,0100000,1001000,1111000
0001011,0000101,0000001,1000011,0100000,1001001,1111010
0001011,0000101,0000001,1000011,0100001,1001000,1111100
0001011,0000101,0000001,1000011,0100001,1001001,1111110
0001010,0000101,0000011,1000000,0100000,1010000,0110000
0001010,0000101,0000011,1000000,0100001,1010000,0110100
0001010,0000101,0000011,1000001,0100000,1010000,0111000
0001010,0000101,0000011,1000001,0100001,1010000,0111100
0001011,0000101,0000010,1000000,0100000,1010001,1100010
0001011,0000101,0000010,1000000,0100001,1010000,1100100
0001011,0000101,0000010,1000000,0100001,1010001,1100110
0001011,0000101,0000010,1000001,0100000,1010000,1101000
0001011,0000101,0000010,1000001,0100001,1010000,1101100
0001011,0000101,0000011,1000000,0100000,1010000,1110000
0001011,0000101,0000011,1000000,0100000,1010001,1110010
0001011,0000101,0000011,1000000,0100001,1010000,1110100
0001011,0000101,0000011,1000000,0100001,1010001,1110110
0001011,0000101,0000011,1000001,0100000,1010000,1111000
0001011,0000101,0000011,1000001,0100000,1010001,1111010
0001011,0000101,0000011,1000001,0100001,1010000,1111100
0001011,0000101,0000011,1000001,0100001,1010001,1111110
0001010,0000101,0000011,1000010,0100001,1011000,0110100
0001010,0000101,0000011,1000010,0100001,1011001,0110110
0001011,0000101,0000010,1000010,0100001,1011001,1100110
0001011,0000101,0000010,1000011,0100000,1011001,1101010
0001011,0000101,0000010,1000011,0100001,1011000,1101100
0001011,0000101,0000010,1000011,0100001,1011001,1101110
0001011,0000101,0000011,1000010,0100001,1011000,1110100
0001011,0000101,0000011,1000010,0100001,1011001,1110110
0001011,0000101,0000011,1000011,0100000,1011000,1111000
0001011,0000101,0000011,1000011,0100000,1011001,1111010
0001011,0000101,0000011,1000011,0100001,1011000,1111100
0001011,0000101,0000011,1000011,0100001,1011001,1111110
0001011,0000110,0000001,1000011,0100001,1101000,1011100
0001011,0000110,0000001,1000011,0100001,1101001,1011110
0001011,0000111,0000001,1000010,0100000,1101000,1110000
0001011,0000111,0000001,1000010,0100001,1101000,1110100
0001011,0000111,0000001,1000010,0100001,1101001,1110110
0001011,0000111,0000001,1000011,0100000,1101000,1111000
0001011,0000111,0000001,1000011,0100000,1101001,1111010
0001011,0000111,0000001,1000011,0100001,1101000,1111100
0001011,0000111,0000001,1000011,0100001,1101001,1111110
0001011,0000111,0000001,1000011,0100011,1101100,1111100
0001011,0000111,0000001,1000011,0100011,1101101,1111110
0001010,0000110,0000011,1000001,0100001,1110000,0011100
0001010,0000110,0000011,1000001,0100001,1110001,0011110
0001010,0000111,0000011,1000001,0100000,1110001,0111010
0001011,0000110,0000010,1000001,0100001,1110001,1001110
0001011,0000110,0000011,1000001,0100000,1110001,1011010
0001011,0000110,0000011,1000001,0100001,1110000,1011100
0001011,0000110,0000011,1000001,0100001,1110001,1011110
0001011,0000111,0000010,1000001,0100000,1110001,1101010
0001011,0000111,0000010,1000001,0100001,1110000,1101100
0001011,0000111,0000010,1000001,0100001,1110001,1101110
0001011,0000111,0000011,1000000,0100000,1110001,1110010
0001011,0000111,0000011,1000001,0100000,1110000,1111000
0001011,0000111,0000011,1000001,0100000,1110001,1111010
0001011,0000111,0000011,1000001,0100001,1110000,1111100
0001011,0000111,0000011,1000001,0100001,1110001,1111110
0001011,0000110,0000011,1000011,0100001,1111000,1011100
0001011,0000110,0000011,1000011,0100001,1111001,1011110
0001011,0000111,0000010,1000011,0100001,1111000,1101100
0001011,0000111,0000010,1000011,0100001,1111001,1101110
0001011,0000111,0000011,1000010,0100001,1111000,1110100
0001011,0000111,0000011,1000010,0100001,1111001,1110110
0001011,0000111,0000011,1000011,0100000,1111000,1111000
0001011,0000111,0000011,1000011,0100000,1111001,1111010
0001011,0000111,0000011,1000011,0100001,1111000,1111100
0001011,0000111,0000011,1000011,0100001,1111001,1111110
0001011,0000111,0000011,1000011,0100011,1111100,1111100
0001011,0000111,0000011,1000011,0100011,1111101,1111110
0001001,0000111,0000110,1000001,0110000,0110000,1101000
0001001,0000111,0000110,1000001,0110001,0110000,1101100
0001001,0000111,0000111,1000000,0110000,0110000,1110000
0001001,0000111,0000111,1000000,0110001,0110000,1110100
0001001,0000111,0000111,1000000,0110001,0110001,1110110
0001001,0000111,0000111,1000001,0110000,0110000,1111000
0001001,0000111,0000111,1000001,0110001,0110000,1111100
0001001,0000111,0000111,1000001,0110001,0110001,1111110
0001001,0000110,0000110,1000001,0110011,0110101,1001110
0001001,0000111,0000110,1000000,0110011,0110101,1100110
0001001,0000111,0000110,1000001,0110011,0110100,1101100
0001001,0000111,0000110,1000001,0110011,0110101,1101110
0001001,0000111,0000111,1000000,0110011,0110100,1110100
0001001,0000111,0000111,1000000,0110011,0110101,1110110
0001001,0000111,0000111,1000001,0110010,0110100,1111000
0001001,0000111,0000111,1000001,0110011,0110100,1111100
0001001,0000111,0000111,1000001,0110011,0110101,1111110
0001011,0000100,0000100,1000011,0110011,1001101,1001110
0001011,0000101,0000100,1000011,0110010,1001101,1101010
0001011,0000101,0000100,1000011,0110011,1001100,1101100
0001011,0000101,0000100,1000011,0110011,1001101,1101110
0001011,0000101,0000101,1000010,0110010,1001101,1110010
0001011,0000101,0000101,1000010,0110011,1001100,1110100
0001011,0000101,0000101,1000010,0110011,1001101,1110110
0001011,0000101,0000101,1000011,0110010,1001100,1111000
0001011,0000101,0000101,1000011,0110010,1001101,1111010
0001011,0000101,0000101,1000011,0110011,1001100,1111100
0001011,0000101,0000101,1000011,0110011,1001101,1111110
0001010,0000110,0000101,1000001,0110011,1100101,0011110
0001010,0000111,0000100,1000001,0110011,1100101,0101110
0001010,0000111,0000101,1000001,0110010,1100101,0111010
0001010,0000111,0000101,1000001,0110011,1100100,0111100
0001010,0000111,0000101,1000001,0110011,1100101,0111110
0001011,0000110,0000100,1000001,0110011,1100101,1001110
0001011,0000110,0000101,1000000,0110011,1100101,1010110
0001011,0000110,0000101,1000001,0110010,1100101,1011010
0001011,0000110,0000101,1000001,0110011,1100100,1011100
